title,runtime_raw,imdb_rating_raw,genre_raw,release_year_raw,runtime,imdb_rating,release_year,genre
Avatar ,178.0,7.9,Action|Adventure|Fantasy|Sci-Fi,2009.0,178.0,7.9,2009.0,Action|Adventure|Fantasy|Sci-Fi
Pirates of the Caribbean: At World's End ,169.0,7.1,Action|Adventure|Fantasy,2007.0,169.0,7.1,2007.0,Action|Adventure|Fantasy
Spectre ,148.0,6.8,Action|Adventure|Thriller,2015.0,148.0,6.8,2015.0,Action|Adventure|Thriller
The Dark Knight Rises ,164.0,8.5,Action|Thriller,2012.0,164.0,8.5,2012.0,Action|Thriller
John Carter ,132.0,6.6,Action|Adventure|Sci-Fi,2012.0,132.0,6.6,2012.0,Action|Adventure|Sci-Fi
Spider-Man 3 ,156.0,6.2,Action|Adventure|Romance,2007.0,156.0,6.2,2007.0,Action|Adventure|Romance
Tangled ,100.0,7.8,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2010.0,100.0,7.8,2010.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Avengers: Age of Ultron ,141.0,7.5,Action|Adventure|Sci-Fi,2015.0,141.0,7.5,2015.0,Action|Adventure|Sci-Fi
Harry Potter and the Half-Blood Prince ,153.0,7.5,Adventure|Family|Fantasy|Mystery,2009.0,153.0,7.5,2009.0,Adventure|Family|Fantasy|Mystery
Batman v Superman: Dawn of Justice ,183.0,6.9,Action|Adventure|Sci-Fi,2016.0,183.0,6.9,2016.0,Action|Adventure|Sci-Fi
Superman Returns ,169.0,6.1,Action|Adventure|Sci-Fi,2006.0,169.0,6.1,2006.0,Action|Adventure|Sci-Fi
Quantum of Solace ,106.0,6.7,Action|Adventure,2008.0,106.0,6.7,2008.0,Action|Adventure
Pirates of the Caribbean: Dead Man's Chest ,151.0,7.3,Action|Adventure|Fantasy,2006.0,151.0,7.3,2006.0,Action|Adventure|Fantasy
The Lone Ranger ,150.0,6.5,Action|Adventure|Western,2013.0,150.0,6.5,2013.0,Action|Adventure|Western
Man of Steel ,143.0,7.2,Action|Adventure|Fantasy|Sci-Fi,2013.0,143.0,7.2,2013.0,Action|Adventure|Fantasy|Sci-Fi
The Chronicles of Narnia: Prince Caspian ,150.0,6.6,Action|Adventure|Family|Fantasy,2008.0,150.0,6.6,2008.0,Action|Adventure|Family|Fantasy
The Avengers ,173.0,8.1,Action|Adventure|Sci-Fi,2012.0,173.0,8.1,2012.0,Action|Adventure|Sci-Fi
Pirates of the Caribbean: On Stranger Tides ,136.0,6.7,Action|Adventure|Fantasy,2011.0,136.0,6.7,2011.0,Action|Adventure|Fantasy
Men in Black 3 ,106.0,6.8,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2012.0,106.0,6.8,2012.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
The Hobbit: The Battle of the Five Armies ,164.0,7.5,Adventure|Fantasy,2014.0,164.0,7.5,2014.0,Adventure|Fantasy
The Amazing Spider-Man ,153.0,7.0,Action|Adventure|Fantasy,2012.0,153.0,7.0,2012.0,Action|Adventure|Fantasy
Robin Hood ,156.0,6.7,Action|Adventure|Drama|History,2010.0,156.0,6.7,2010.0,Action|Adventure|Drama|History
The Hobbit: The Desolation of Smaug ,186.0,7.9,Adventure|Fantasy,2013.0,186.0,7.9,2013.0,Adventure|Fantasy
The Golden Compass ,113.0,6.1,Adventure|Family|Fantasy,2007.0,113.0,6.1,2007.0,Adventure|Family|Fantasy
King Kong ,201.0,7.2,Action|Adventure|Drama|Romance,2005.0,201.0,7.2,2005.0,Action|Adventure|Drama|Romance
Titanic ,194.0,7.7,Drama|Romance,1997.0,194.0,7.7,1997.0,Drama|Romance
Captain America: Civil War ,147.0,8.2,Action|Adventure|Sci-Fi,2016.0,147.0,8.2,2016.0,Action|Adventure|Sci-Fi
Battleship ,131.0,5.9,Action|Adventure|Sci-Fi|Thriller,2012.0,131.0,5.9,2012.0,Action|Adventure|Sci-Fi|Thriller
Jurassic World ,124.0,7.0,Action|Adventure|Sci-Fi|Thriller,2015.0,124.0,7.0,2015.0,Action|Adventure|Sci-Fi|Thriller
Skyfall ,143.0,7.8,Action|Adventure|Thriller,2012.0,143.0,7.8,2012.0,Action|Adventure|Thriller
Spider-Man 2 ,135.0,7.3,Action|Adventure|Fantasy|Romance,2004.0,135.0,7.3,2004.0,Action|Adventure|Fantasy|Romance
Iron Man 3 ,195.0,7.2,Action|Adventure|Sci-Fi,2013.0,195.0,7.2,2013.0,Action|Adventure|Sci-Fi
Alice in Wonderland ,108.0,6.5,Adventure|Family|Fantasy,2010.0,108.0,6.5,2010.0,Adventure|Family|Fantasy
X-Men: The Last Stand ,104.0,6.8,Action|Adventure|Fantasy|Sci-Fi|Thriller,2006.0,104.0,6.8,2006.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
Monsters University ,104.0,7.3,Adventure|Animation|Comedy|Family|Fantasy,2013.0,104.0,7.3,2013.0,Adventure|Animation|Comedy|Family|Fantasy
Transformers: Revenge of the Fallen ,150.0,6.0,Action|Adventure|Sci-Fi,2009.0,150.0,6.0,2009.0,Action|Adventure|Sci-Fi
Transformers: Age of Extinction ,165.0,5.7,Action|Adventure|Sci-Fi,2014.0,165.0,5.7,2014.0,Action|Adventure|Sci-Fi
Oz the Great and Powerful ,130.0,6.4,Adventure|Family|Fantasy,2013.0,130.0,6.4,2013.0,Adventure|Family|Fantasy
The Amazing Spider-Man 2 ,142.0,6.7,Action|Adventure|Fantasy|Sci-Fi,2014.0,142.0,6.7,2014.0,Action|Adventure|Fantasy|Sci-Fi
TRON: Legacy ,125.0,6.8,Action|Adventure|Sci-Fi,2010.0,125.0,6.8,2010.0,Action|Adventure|Sci-Fi
Cars 2 ,106.0,6.3,Adventure|Animation|Comedy|Family|Sport,2011.0,106.0,6.3,2011.0,Adventure|Animation|Comedy|Family|Sport
Green Lantern ,123.0,5.6,Action|Adventure|Sci-Fi,2011.0,123.0,5.6,2011.0,Action|Adventure|Sci-Fi
Toy Story 3 ,103.0,8.3,Adventure|Animation|Comedy|Family|Fantasy,2010.0,103.0,8.3,2010.0,Adventure|Animation|Comedy|Family|Fantasy
Terminator Salvation ,118.0,6.6,Action|Adventure|Sci-Fi,2009.0,118.0,6.6,2009.0,Action|Adventure|Sci-Fi
